aX,aY,aZ,gX,gY,gZ
0.236,1.151,1.259,20.142,-4.578,-61.279
0.238,1.054,1.355,34.851,-13.367,-70.007
0.242,0.865,1.458,47.852,-29.846,-77.026
0.246,0.730,1.518,51.086,-53.101,-79.590
0.229,0.626,1.595,37.231,-77.759,-78.552
0.248,0.602,1.634,6.104,-98.999,-76.233
0.273,0.636,1.601,-34.119,-119.873,-74.402
0.268,0.694,1.543,-67.871,-143.616,-74.219
0.269,0.755,1.455,-87.280,-169.006,-77.820
0.302,0.756,1.351,-96.252,-197.205,-81.970
0.303,0.760,1.263,-92.957,-226.135,-79.834
0.288,0.731,1.173,-83.313,-252.686,-74.585
0.272,0.699,1.129,-73.364,-274.292,-66.467
0.240,0.721,1.082,-68.604,-287.170,-62.134
0.214,0.752,1.035,-69.336,-288.635,-67.078
0.224,0.763,1.002,-70.618,-280.579,-81.726
0.249,0.738,0.958,-72.632,-264.526,-102.295
0.284,0.650,0.935,-75.989,-246.643,-125.305
0.342,0.625,0.884,-83.801,-226.746,-143.616
0.483,0.587,0.778,-96.680,-206.787,-160.889
0.627,0.579,0.667,-105.835,-193.176,-177.368
0.760,0.535,0.522,-110.840,-186.401,-187.927
0.918,0.552,0.430,-115.295,-187.012,-191.040
1.097,0.477,0.233,-127.197,-197.998,-182.983
1.241,0.395,0.015,-134.521,-222.961,-164.001
1.379,0.335,-0.135,-133.606,-256.104,-137.512
1.546,0.250,-0.289,-129.028,-288.086,-105.286
1.722,0.165,-0.445,-126.526,-316.223,-69.275
1.903,0.083,-0.634,-129.517,-341.797,-33.020
2.133,0.084,-0.875,-124.329,-366.089,0.061
2.426,0.175,-1.129,-117.920,-387.024,32.227
2.535,0.379,-1.432,-101.990,-406.189,60.364
2.855,0.692,-1.696,-70.740,-425.720,74.951
2.690,0.975,-2.031,-33.752,-432.556,84.045
2.113,0.964,-2.373,2.441,-431.641,87.280
1.431,1.428,-2.356,43.030,-429.504,83.496
0.512,1.391,-2.867,83.008,-396.118,78.674
-0.089,1.776,-2.801,66.772,-338.440,87.524
