aX,aY,aZ,gX,gY,gZ
-1.987,-0.570,0.265,-106.934,-70.190,-83.069
-1.979,-0.500,0.282,-117.798,-77.881,-79.346
-1.969,-0.642,0.327,-124.634,-90.698,-89.600
-1.868,-0.572,0.216,-95.337,-107.666,-93.750
-2.067,-0.576,0.186,-19.226,-125.671,-72.388
-2.233,-0.735,0.089,29.480,-140.442,-67.688
-2.225,-0.800,-0.017,43.457,-138.245,-75.317
-2.114,-0.781,-0.100,37.109,-131.897,-90.271
-2.060,-0.595,-0.158,34.668,-124.573,-108.032
-1.913,-0.497,-0.208,37.720,-108.582,-139.832
-1.665,-0.378,-0.175,45.166,-83.679,-179.077
-1.358,-0.248,-0.172,53.101,-49.866,-220.581
-0.910,-0.147,-0.087,63.782,-10.315,-259.583
-0.350,-0.118,-0.007,54.626,26.978,-289.978
0.211,-0.091,0.059,26.917,50.903,-301.880
0.787,0.107,0.241,-3.662,59.692,-288.818
1.445,0.450,0.352,-43.274,50.049,-246.521
1.867,1.040,0.370,-70.984,32.959,-184.692
2.063,1.729,0.396,-51.331,22.888,-130.005
2.178,2.310,0.354,27.771,17.029,-101.074
2.040,2.493,0.204,153.442,7.812,-100.830
1.805,2.273,-0.033,281.250,-0.610,-120.728
1.498,1.946,-0.124,363.037,-5.859,-148.621
1.178,1.533,-0.152,373.169,-5.493,-173.645
0.949,1.075,-0.191,302.734,-3.113,-191.833
0.796,0.945,-0.238,169.861,-7.507,-196.838
0.492,1.244,-0.345,24.658,-15.930,-190.674
0.678,1.218,-0.591,-86.426,-22.949,-178.406
0.274,1.492,-0.486,-137.512,-43.884,-144.409
0.250,1.523,-0.592,-176.819,-37.659,-111.145
0.234,1.487,-0.582,-194.397,-16.235,-72.327
0.238,1.461,-0.594,-174.866,6.226,-40.405
0.261,1.375,-0.551,-135.742,27.588,-24.658
0.292,1.280,-0.465,-88.989,44.983,-19.470
0.296,1.176,-0.354,-41.809,54.749,-21.057
0.283,1.073,-0.267,-1.404,60.791,-24.841
0.280,1.030,-0.199,29.602,67.261,-25.330
0.325,1.026,-0.143,52.368,73.730,-19.348
0.399,1.041,-0.081,66.650,77.637,-8.057
0.455,1.065,-0.031,73.486,76.538,5.981
0.478,1.060,0.015,77.271,72.510,20.752
0.459,1.045,0.061,78.186,67.688,33.386
0.404,0.998,0.102,75.134,62.927,43.640
0.335,0.954,0.130,66.956,58.105,51.025
0.258,0.922,0.143,54.504,51.086,54.993
0.163,0.888,0.121,39.734,40.588,54.382
0.054,0.849,0.102,24.536,30.823,50.110
-0.064,0.817,0.098,8.179,25.146,43.640
-0.153,0.832,0.093,-9.827,25.513,37.354
-0.190,0.855,0.091,-26.001,29.114,32.288
-0.191,0.901,0.097,-38.757,33.569,28.870
-0.202,0.936,0.082,-45.471,36.682,25.574
-0.193,0.993,0.087,-45.227,38.818,22.278
-0.147,1.043,0.096,-37.598,38.452,19.775
-0.116,1.084,0.096,-23.621,34.058,17.761
-0.073,1.124,0.092,-5.554,26.062,15.869
-0.043,1.124,0.071,14.648,15.686,13.367
-0.075,1.096,0.030,32.043,3.662,8.911
-0.120,1.074,-0.020,40.955,-7.812,3.967
-0.180,1.038,-0.043,41.199,-16.541,-0.977
-0.250,1.003,-0.045,36.072,-19.531,-3.967
-0.343,0.984,-0.075,30.518,-14.343,-2.075
-0.436,0.959,-0.105,24.414,-2.747,6.470
-0.485,0.922,-0.061,13.794,12.146,21.545
-0.490,0.897,-0.085,-5.249,25.696,37.964
-0.495,0.942,-0.056,-23.499,36.133,52.979
-0.461,0.956,-0.051,-33.020,40.894,65.491
-0.412,0.972,-0.033,-33.997,38.635,71.716
-0.399,0.959,-0.014,-29.358,31.433,70.984
-0.384,0.970,0.020,-20.508,21.606,66.650
-0.389,0.962,0.047,-9.033,10.376,60.547
-0.425,0.965,0.061,3.479,-0.610,52.734
-0.529,0.900,0.053,16.602,-10.681,47.363
-0.625,0.846,0.052,27.039,-18.250,48.523
-0.684,0.827,0.057,33.875,-20.630,57.251
-0.710,0.785,0.057,36.499,-18.188,70.313
-0.695,0.772,0.055,37.292,-12.329,82.764
-0.653,0.744,0.073,36.438,-6.165,90.637
-0.650,0.695,0.094,33.203,-1.465,92.773
-0.634,0.697,0.103,27.039,2.686,90.088
-0.643,0.689,0.117,20.569,5.066,83.862
