aX,aY,aZ,gX,gY,gZ
-0.055,-0.959,4.000,-328.674,430.603,25.696
4.000,3.262,3.534,-414.001,439.941,60.242
1.530,3.344,0.527,-124.146,30.823,91.492
-0.979,1.703,0.870,-201.599,-49.194,69.092
0.496,2.361,-0.722,18.372,-10.437,-26.550
0.792,2.057,-0.895,135.620,-18.494,-167.297
0.423,1.089,-0.440,159.180,-41.931,-233.887
-0.113,0.261,-0.158,82.764,-20.630,-156.555
-0.003,0.414,0.317,33.997,13.855,62.012
-0.004,0.599,0.554,45.166,14.648,177.063
-0.326,0.894,0.445,49.377,12.939,184.509
-0.418,0.858,0.290,35.522,7.507,100.281
-0.286,0.575,0.161,22.034,-0.610,12.207
-0.237,0.640,0.134,10.620,-5.737,-5.493
-0.193,0.757,0.174,-2.930,-8.118,-6.104
-0.133,0.873,0.247,-10.071,-8.728,-1.282
-0.104,0.948,0.295,-3.418,-12.207,-1.648
-0.100,0.993,0.282,5.615,-13.611,-10.498
-0.097,1.037,0.251,10.864,-12.146,-12.512
-0.070,1.091,0.228,16.663,-10.559,-12.451
-0.047,1.131,0.208,21.423,-9.155,-10.376
-0.044,1.120,0.215,27.405,-8.911,-7.263
-0.053,1.080,0.220,32.654,-9.094,-5.798
-0.081,1.013,0.226,37.354,-9.155,-5.859
-0.119,0.940,0.236,38.574,-8.118,-5.554
-0.150,0.881,0.244,35.583,-6.287,-4.456
-0.172,0.815,0.243,30.029,-4.456,-2.930
-0.168,0.794,0.247,24.658,-2.930,-1.404
-0.163,0.784,0.256,20.325,-1.465,-0.488
-0.152,0.783,0.261,16.541,-0.305,-0.183
-0.140,0.807,0.259,13.916,0.671,-0.244
-0.125,0.843,0.263,11.841,1.404,-0.977
-0.100,0.875,0.263,10.254,2.075,-1.587
-0.084,0.906,0.261,8.972,1.770,-1.892
-0.075,0.939,0.257,8.484,1.221,-1.648
-0.066,0.964,0.260,8.057,0.549,-1.892
-0.059,0.973,0.261,7.812,-0.122,-2.319
-0.062,0.973,0.263,7.080,-0.549,-2.258
-0.074,0.960,0.263,7.141,-1.221,-2.075
-0.086,0.938,0.261,6.897,-1.404,-1.953
-0.091,0.922,0.266,6.165,-1.404,-1.892
-0.096,0.904,0.270,5.249,-1.221,-1.892
-0.102,0.894,0.273,4.517,-0.854,-1.770
-0.106,0.884,0.274,3.967,-0.305,-1.526
-0.105,0.888,0.274,3.540,0.366,-1.099
-0.101,0.897,0.272,3.113,0.977,-0.732
-0.095,0.910,0.274,2.747,1.343,-0.916
-0.091,0.919,0.273,2.563,1.221,-1.404
-0.088,0.924,0.270,2.563,0.610,-1.831
-0.091,0.930,0.269,2.747,-0.183,-2.258
-0.096,0.929,0.276,3.052,-0.305,-2.319
-0.096,0.933,0.276,2.808,-0.366,-2.075
-0.103,0.926,0.276,2.747,-0.671,-2.136
-0.104,0.921,0.277,3.418,-1.160,-2.014
-0.105,0.918,0.279,4.150,-1.160,-1.648
-0.104,0.908,0.285,4.456,-1.404,-1.526
-0.108,0.900,0.291,3.784,-1.282,-1.282
-0.103,0.903,0.286,3.540,-1.038,-0.916
-0.098,0.909,0.281,3.418,-0.671,-0.671
-0.096,0.907,0.282,3.540,-0.488,-0.732
-0.095,0.914,0.273,3.845,-0.183,-0.610
-0.089,0.911,0.276,4.395,-0.183,-0.671
-0.081,0.911,0.284,3.967,-0.305,-0.854
-0.072,0.915,0.290,3.174,-0.854,-0.793
-0.077,0.912,0.290,2.625,-1.709,-0.977
-0.076,0.917,0.279,2.563,-2.258,-1.160
-0.081,0.910,0.281,2.502,-2.625,-1.282
-0.088,0.906,0.285,2.136,-2.686,-1.160
-0.087,0.903,0.288,1.709,-2.136,-0.916
-0.090,0.903,0.293,0.916,-1.526,-0.610
-0.095,0.899,0.296,0.122,-0.977,-0.610
-0.096,0.899,0.295,-0.183,-0.427,-0.610
-0.099,0.899,0.287,-0.244,-0.183,-0.427
-0.097,0.905,0.283,-0.366,-0.061,0.122
-0.094,0.911,0.278,-0.671,0.122,0.732
-0.093,0.912,0.274,-1.282,-0.244,1.343
-0.090,0.919,0.272,-2.014,-0.427,1.648
-0.088,0.922,0.276,-2.380,-0.549,1.709
-0.077,0.930,0.276,-2.502,-0.488,1.709
-0.075,0.931,0.277,-2.563,-0.732,1.587
-0.072,0.935,0.275,-2.563,-1.282,1.465
-0.074,0.926,0.279,-2.319,-1.648,1.099
-0.076,0.923,0.280,-2.014,-1.831,0.977
-0.078,0.920,0.277,-1.282,-1.404,1.038
-0.078,0.920,0.275,-0.610,-1.221,0.793
-0.079,0.921,0.276,0.061,-1.282,0.427
-0.083,0.916,0.277,0.427,-1.221,0.122
-0.084,0.915,0.276,0.427,-1.099,0.122
-0.083,0.916,0.276,0.671,-1.343,-0.122
-0.088,0.911,0.273,0.671,-1.404,-0.183
-0.086,0.915,0.274,0.305,-1.160,0.000
-0.082,0.922,0.277,-0.183,-0.732,0.061
-0.075,0.927,0.280,0.183,-0.610,-0.427
-0.074,0.932,0.284,0.488,-0.610,-1.038
-0.077,0.931,0.281,0.793,-0.854,-1.587
-0.084,0.922,0.279,0.977,-1.282,-1.953
-0.086,0.922,0.280,0.793,-1.587,-1.709
-0.084,0.923,0.277,0.732,-1.709,-1.343
-0.090,0.919,0.277,0.916,-1.892,-1.343
-0.094,0.911,0.277,0.977,-1.770,-1.282
-0.097,0.904,0.279,1.038,-1.343,-1.038
-0.094,0.907,0.280,0.488,-0.854,-0.916
-0.091,0.907,0.281,0.244,-0.916,-0.732
-0.087,0.916,0.277,-0.061,-0.977,-0.610
-0.079,0.925,0.277,-0.061,-1.221,-0.732
-0.082,0.926,0.274,-0.061,-1.587,-0.854
-0.082,0.927,0.275,0.366,-1.709,-0.854
-0.081,0.930,0.275,1.160,-1.526,-0.732
-0.082,0.924,0.275,1.648,-1.343,-0.793
-0.088,0.916,0.275,1.892,-1.465,-0.854
-0.091,0.914,0.278,2.014,-1.648,-0.732
-0.089,0.913,0.275,2.014,-1.709,-0.549
-0.088,0.916,0.276,2.014,-1.770,-0.488
-0.090,0.912,0.273,1.892,-1.709,-0.732
-0.090,0.917,0.272,1.404,-1.587,-0.671
-0.088,0.921,0.274,1.099,-1.709,-0.549
-0.093,0.920,0.275,1.465,-1.953,-0.366
-0.092,0.914,0.278,1.465,-2.014,-0.122
-0.093,0.913,0.278,1.587,-1.953,0.000

4.000,-0.719,4.000,-716.431,527.466,91.248
2.837,4.000,0.061,-395.935,248.779,242.126
-0.774,2.701,1.489,-275.391,-166.443,264.038
0.021,2.181,0.311,-125.610,-66.162,172.363
